author_id;name
2143328931;Michel Abdalla
2564669815;Jill-Jênn Vie
2255205611;Mark Burgess
1251186077;Alva L. Couch
2182498006;Martine Collard
2298234020;Ricardo Martínez
2338213376;Aristides Dikos
2162036314;Peter C. Nelson
2036832964;Thomas M. Tirpak
2340891503;Weihsin Wang
2068146743;James H. Niblock
2252543171;Jian-Xun Peng
1278895136;Karen R. McMenemy
2171534607;George W. Irwin
181506914;Robert A. Van Gorder
2128185928;Mike D. Rinderknecht
2121783832;Werner L. Popp
2060698562;Olivier Lambercy
1973184187;Roger Gassert
2236503884;David J. Anderson
1945051285;Giulio Concas
608193906;Maria Ilaria Lunesu
2036846023;Michele Marchesi
2619848081;Hongyu Zhang
148277250;Zaruhi R. Mnatsakanyan
2802098124;Daniel J. Mollura
2017130482;John R. Ticehurst
2801637014;Mohammad R. Hashemian
2120725579;Lang M. Hung
2136856499;Hamed Hassanzadeh
2893521534;Tudor Groza
2101260747;Anthony N. Nguyen
2144420726;Jane Hunter
2555091219;Clement J. McDonald
2009609066;Paul R. Dexter
1545984777;Gunther Schadow
2095900866;Henry C. Chueh
2106826931;Greg Abernathy
2268629875;John Hook
2105553894;Lonnie Blevins
2229316332;J. Marc Overhage
2923305450;Jules J. Berman
2022861279;Carmen Banea
2121322151;Samer Hassan
2309999102;Michael Mohler
2068190112;Rada Mihalcea
2128212913;Siddharth Gopal
2159253281;Yiming Yang
683941801;Philip R. O. Payne
2168510846;Justin B. Starren
2558250323;John Neil Martin
2007383746;Shyh Wei Teng
2121496889;Kai Ming Ting
2122931204;Marco Corazza
2008405047;Stefania Funari
1971232791;Riccardo Gusso
2120836466;Sinno Jialin Pan
2111678102;James T. Kwok
2109031554;Qiang Yang
2191511983;Jeffrey Junfeng Pan
2095636841;Alfred W. Loo
2549153065;Etsuo Kawada
2075034029;Patrick Barlatier
383143893;Richard Dapoigny
346909080;Dursun Delen
2112117635;David B. Pratt
1995406097;Manjunath Kamath
2181654943;Seonah Lee
2113802326;Sungwon Kang
2063568559;Francesca Cordella
1592879070;Francesco Corato
1991863171;Loredana Zollo
2276174343;Bruno Siciliano
2050825142;Rida T. Farouki
177951892;Helmut Pottmann
2154808769;Barna Kovács
2019101048;Rachelle Kristof Hippler
2060579979;Dale S. Klopfer
2113075142;Laura Marie Leventhal
2292501048;G. Michael Poor
1989525063;Brandi A. Klein
2169540936;Samuel D. Jaffee
2405901215;Ralf Hungerbühler
205737203;Jürgen Garloff
2092022908;Johannes Tausch
2169919654;Jacob White
2103882608;Jaume Comellas
2559804696;Josep Conesa
2252622550;Gabriel Junyent
2051681002;Noam Knoller
1926413647;Faiez Zalila
2951432815;Xavier Crégut
1995276563;Marc Pantel
2110318114;William M. Stevens
2233353379;Annemette Leonhardt Kjærgaard
2810083571;Peter Axel Nielsen
2626454983;Karlheinz Kautz
2152243552;Alexandr Andoni
2620164869;Huy L. Nguyêݱn
2429702140;Hernán G. Morales
2010625751;Ignacio Larrabide
2305382089;Minsuok Kim
2036137081;Maria-Cruz Villa-Uriol
2132722601;Juan M. Macho
2435989397;Jordi Blasco
2309826422;Luis San Roman
2147779349;Alejandro F. Frangi
2129771855;Shou-Hsuan Stephen Huang
2443910113;Kemal Altınkemer
2793328468;Wei Thoo Yue
2519402967;Liang Yu
2154613642;Jan Grau
159610316;Jens Keilwagen
1832751096;André Gohr
2043338016;Berit Haldemann
2100069631;Stefan Posch
1979876342;Ivo Grosse
2222746049;Thomas Colcombet
2137666597;Malte Probst
2171731261;Franz Rothlauf
2059425993;Jörn Grahl
2655841772;Sally Foster
1727059595;Péter Balázs
2505290037;Martin G. Roberts
2141316474;Timothy F. Cootes
2114244606;Judith E. Adams
195980013;Peter Hertling
35741249;Christoph Spandl
2637950424;Andrzej Stasiak
2973683909;Zbigniew Zieliński
2225911406;Igor Djurovic
2973452925;Ljubisa A. Stankovic
321831593;Braham Barkat
339331339;Alberto Dennunzio
8135979;Enrico Formenti
2040447644;Luca Manzoni
2102122772;Giancarlo Mauri
297263217;Euripides G. M. Petrakis
1063590995;Giannis Varelas
33206313;Angelos Hliaoutakis
298400862;Paraskevi Raftopoulou
2013170699;Dan Livingstone
2239016892;Eduardo R. Miranda
1896956012;Oliver Schulte
245994637;Romane Gauriau
2082222046;Rémi Cuingnet
2141751838;David Lesage
1940272638;Isabelle Bloch
2024911655;Riccardo Satta
1244974601;Giorgio Fumera
2048719660;Fabio Roli
2152029228;Dijia Wu
1880413372;Michal Sofka
1476131191;Neil Birkbeck
2167740186;S. Kevin Zhou
2117432811;Jaime Sánchez-Hernández
2040918890;Giuseppe Riva
2080063942;Laura Carelli
627093654;Andrea Gaggioli
2095278027;Alessandra Gorini
2119938105;Cinzia Vigna
1972086764;Riccardo Corsi
2082812151;Gianluca Faletti
1988561859;Luca Vezzadini
2088212047;Ryan J. Tibshirani
2596517932;Enzo Ferrante
2041929413;Nikos Paragios
170186220;Augustus K. Uht
2168513913;David Morano
2092767352;Alireza Khalafi
2283028827;David R. Kaeli
2096455838;Martha Myers
2974296074;Cathy Beise
2936730352;K. Dekker
391532651;J. F. Kraaijevanger
704409181;M. N. Spijker
2167746919;Donald Nute
2798554258;Zachary Hunter
2798424333;Christopher Henderson
1873538321;Georg Gottlob
2101926452;Marco Manna
2028688391;Michael Morak
2807402647;Andreas Pieris
2483104957;P. Oswald
2140518643;Qunhua Pan
2146282702;Minglu Li
2135854099;Lionel M. Ni
2111521689;Min-You Wu
2189871070;V. T. Raja
2128075162;Bernard T. Han
2103731555;Hiroshi Konno
1968025676;Annista Wijayanayake
1987619973;Stefan Bauer
2599010870;Lutz-P. Nolte
2954160865;Mauricio Reyes
2439742470;Maria Andreou
1470835395;Stavros D. Nikolopoulos
2019340416;Karel Heyse
2145259743;Brahim Al Farisi
255856329;Karel Bruneel
2916990554;Dirk Stroobandt
211870645;Gregory M. Kobele
2171596754;Jens Michaelis
2949788064;Fábio Henrique Viduani Martinez
2255485921;Pedro Feijão
2113206971;Marília Dias Vieira Braga
1785353610;Jens Stoye
74063520;Reza Reyhanitabar
22805272;Serge Vaudenay
272980497;Damian Vizár
2472035779;Sanjoy Dasgupta
2135255940;Wee Sun Lee
2135968533;Philip M. Long
1539171732;Giovanna J. Lavado
237646697;Giovanni Pighizzini
2428833176;Gražina Pyž
1025223892;Virginija Šimonytė
2297192962;Vytautas Slivinskas
2974365363;Tim Harriss
2067548729;Richard Walke
324867441;Bart Kienhuis
2143788531;Ed Deprettere
2161690035;Lotfi Chaari
2166126287;Florence Forbes
2145822934;Thomas Vincent
2286323142;Philippe Ciuciu
2330918143;Jung Guk Kim
2146573063;Gil Kim
2635771934;V. Murugesh
2991122650;K. Batri
2477615743;Kais Allab
230725257;Khalid Benabdeslem
2780132591;Qiong Zheng
2102351059;Duan Chen
2171457635;Guo-Wei Wei
2427709626;Liang Liu
2151491929;Ping Wei
2055166629;Hong Shu Liao
283699036;Charalampos Papamanthou
2152052458;Elaine Shi
237969062;Roberto Tamassia
2115752352;Ke Yi
1968790287;András Pluhár
6439440;Eric R. Scerri
2097021352;Hongwei Tian
2164236968;Weining Zhang
2170746593;Shouhuai Xu
2114247000;Patrick Sharkey
2692722788;Cheng Lu
2674712804;Jianxin Chen
2105533932;Runyao Duan
26130675;Ronan Fablet
217982516;Patrick Bouthemy
121113364;Abolfazl Zaraki
2077115692;Daniele Mazzei
2087320732;Nicole Lazzeri
