conference_id;name;publication
2759168861;International Conference on Progress in Cryptology;International Conference on Progress in Cryptology 7533 2012
1130566378;Research Challenges in Information Science;Research Challenges in Information Science 4 2007
1164975091;International Conference on Computer Vision;International Conference on Computer Vision 24 2008
2755724983;International Conference on Human Haptic Sensing and Touch Enabled Computer Applications;International Conference on Human Haptic Sensing and Touch Enabled Computer Applications 8619 2014
2754197539;International Conference on Agile Software Development;International Conference on Agile Software Development 111 2012
2757487807;American Medical Informatics Association Annual Symposium;American Medical Informatics Association Annual Symposium 2008 2008
1174248916;Pacific Rim International Conference on Artificial Intelligence;Pacific Rim International Conference on Artificial Intelligence 8862 2014
2757804692;Joint Conference on Lexical and Computational Semantics;Joint Conference on Lexical and Computational Semantics 1 2012
1180662882;International Conference on Machine Learning;International Conference on Machine Learning 32 2014
1179702818;Active Media Technology;Active Media Technology 138 2006
1137640971;Italian Workshop on Neural Nets;Italian Workshop on Neural Nets 26 2014
1184914352;National Conference on Artificial Intelligence;National Conference on Artificial Intelligence 2 2007
1139274412;International Conference on Image Analysis and Processing;International Conference on Image Analysis and Processing 8158 2013
1127419992;International Conference on Human-Computer Interaction;International Conference on Human-Computer Interaction 6762 2011
1134804816;International Conference on Interactive Digital Storytelling;International Conference on Interactive Digital Storytelling 7648 2012
1191550517;Model Driven Engineering Languages and Systems;Model Driven Engineering Languages and Systems 8107 2013
1130177464;Symposium on Discrete Algorithms;Symposium on Discrete Algorithms 12 2016
1129324708;Medical Image Computing and Computer-Assisted Intervention;Medical Image Computing and Computer-Assisted Intervention 14 2011
1184527398;Language and Automata Theory and Applications;Language and Automata Theory and Applications 6638 2011
2756208608;DepCoS-RELCOMEX;DepCoS-RELCOMEX 224 2013
1187792334;Cellular Automata for Research and Industry;Cellular Automata for Research and Industry 7495 2012
2754492142;International Computer Music Conference;International Computer Music Conference 2005 2005
2757021987;Medicine Meets Virtual Reality;Medicine Meets Virtual Reality 142 2009
1182309694;Decision Support Systems;Decision Support Systems 22 1998
1163686456;Mathematical Foundations of Computer Science;Mathematical Foundations of Computer Science 7464 2012
1188726732;Applied Reconfigurable Computing;Applied Reconfigurable Computing 7199 2012
