journal_id;name;publication
70478294;The Journal of Logic and Algebraic Programming;The Journal of Logic and Algebraic Programming 80 2011
57667410;Annals of Operations Research;Annals of Operations Research 75 1997
7571225;Applied Mathematics Letters;Applied Mathematics Letters 25 2012
129839026;Journal of the American Medical Informatics Association;Journal of the American Medical Informatics Association 12 2005
255146;Synthese;Synthese 134 2003
183285281;Advances in Computers;Advances in Computers 79 2010
49967189;Wireless Personal Communications;Wireless Personal Communications 22 2002
31619775;Applied Ontology;Applied Ontology 7 2012
161464388;Journal of Intelligent Manufacturing;Journal of Intelligent Manufacturing 12 2001
2764461748;Studies in computational intelligence;Studies in computational intelligence 377 2012
64721560;Reliable Computing;Reliable Computing 8 2002
5962179;Acta Cybernetica;Acta Cybernetica 18 2008
57050787;Advances in Computational Mathematics;Advances in Computational Mathematics 9 1998
150190834;Photonic Network Communications;Photonic Network Communications 5 2003
149828480;Natural Computing;Natural Computing 11 2012
136415702;Scandinavian Journal of Information Systems;Scandinavian Journal of Information Systems 22 2010
125499977;Bit Numerical Mathematics;Bit Numerical Mathematics 28 1988
122922407;Information Technology & Management;Information Technology & Management 4 2003
118988714;Journal of Machine Learning Research;Journal of Machine Learning Research 13 2012
103321696;European Journal of Operational Research;European Journal of Operational Research 256 2017
166722454;Education and Information Technologies;Education and Information Technologies 5 2000
200334879;Discrete Mathematics & Theoretical Computer Science;Discrete Mathematics & Theoretical Computer Science 10 2008
164884734;Annales Des Télécommunications;Annales Des Télécommunications 60 2005
58913237;Journal of Digital Information Management;Journal of Digital Information Management 4 2006
58563349;Journal of Universal Computer Science;Journal of Universal Computer Science 12 2006
182003359;Journal of Instruction-level Parallelism;Journal of Instruction-level Parallelism 5 2003
7020383;Communications of The Ais;Communications of The Ais 2 1999
35593046;Computing;Computing 36 1986
145894672;Telecommunication Systems;Telecommunication Systems 23 2003
115925768;Journal of Global Optimization;Journal of Global Optimization 22 2002
34876645;Nordic Journal of Computing;Nordic Journal of Computing 6 1999
62148650;Machine Learning;Machine Learning 51 2003
57195646;Informatica (lithuanian Academy of Sciences);Informatica (lithuanian Academy of Sciences) 22 2011
85498321;Design Automation for Embedded Systems;Design Automation for Embedded Systems 7 2002
192650101;Information Sciences;Information Sciences 39 1986
147751515;International Journal of Computers Communications & Control;International Journal of Computers Communications & Control 3 2008
148709879;Journal of Computational Physics;Journal of Computational Physics 230 2011
166990724;IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences;IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences 98 2015
2738871534;Transactions on Data Privacy;Transactions on Data Privacy 5 2012
41034432;Quantum Information & Computation;Quantum Information & Computation 12 2012
66221708;Journal of Mathematical Imaging and Vision;Journal of Mathematical Imaging and Vision 14 2001
91329792;Journal of Intelligent and Robotic Systems;Journal of Intelligent and Robotic Systems 20 1997
12266929;Journal of Functional Programming;Journal of Functional Programming 1 1991
116823179;Transactions on Computational Systems Biology;Transactions on Computational Systems Biology 14 2012
36874608;Elektrotechnik Und Informationstechnik;Elektrotechnik Und Informationstechnik 127 2010
2764848351;Computer-Aided Engineering;Computer-Aided Engineering 12 2005
18904315;Journal of Symbolic Computation;Journal of Symbolic Computation 47 2012
46765617;Ldv Forum;Ldv Forum 15 1998
200807567;Journal of Electronic Testing;Journal of Electronic Testing 17 2001
11075324;International Journal of Strategic Information Technology and Applications;International Journal of Strategic Information Technology and Applications 6 2015
107631664;Integrated Computer-aided Engineering;Integrated Computer-aided Engineering 14 2007
129640837;International Journal of Systems Science;International Journal of Systems Science 29 1998
45003570;Performance Evaluation;Performance Evaluation 64 2007
2764436308;Journal of Integrated Design & Process Science archive;Journal of Integrated Design & Process Science archive 6 2002
114499935;Journal of Web Engineering;Journal of Web Engineering 8 2009
18902827;Discrete Mathematics;Discrete Mathematics 312 2012
2764799262;Information-Knowledge-Systems Management archive;Information-Knowledge-Systems Management archive 7 2008
33323087;Management Science;Management Science 64 2017
160628929;User Modeling and User-adapted Interaction;User Modeling and User-adapted Interaction 8 1998
148503350;Queueing Systems;Queueing Systems 27 1997
50368787;Electronic Notes in Theoretical Computer Science;Electronic Notes in Theoretical Computer Science 36 2000
156280010;American Mathematical Monthly;American Mathematical Monthly 115 2008
16006927;Journal of Multimedia;Journal of Multimedia 4 2008
93469583;Computers and The Humanities;Computers and The Humanities 34 2000
112260463;Electronic Communication of The European Association of Software Science and Technology;Electronic Communication of The European Association of Software Science and Technology 10 2008
91790502;Journal of Research and Practice in Information Technology;Journal of Research and Practice in Information Technology 35 2003
63239782;Engineering Letters;Engineering Letters 16 2008
106296714;Lecture Notes in Computer Science;Lecture Notes in Computer Science 2948 2003
134484881;Discrete Event Dynamic Systems;Discrete Event Dynamic Systems 8 1998
26186134;Social Networks;Social Networks 28 2006
154637859;Signal Processing;Signal Processing 128 2016
57293258;Management Information Systems Quarterly;Management Information Systems Quarterly 30 2006
25538012;International Journal of Computer Vision;International Journal of Computer Vision 34 1999
72366220;Combinatorica;Combinatorica 12 1992
2764401563;IEICE technical report. Natural language understanding and models of communication;IEICE technical report. Natural language understanding and models of communication 105 2005
107325288;Social Choice and Welfare;Social Choice and Welfare 20 2003
2764847869;IACR Cryptology ePrint Archive;IACR Cryptology ePrint Archive 2005 2005
975621743;Presence: Teleoperators & Virtual Environments;Presence: Teleoperators & Virtual Environments 1 1992
2764374723;Information polity;Information polity 12 2007
204851967;European Journal of Combinatorics;European Journal of Combinatorics 54 2016
2764653341;Informatics in education;Informatics in education 5 2006
106843326;IEEE Distributed Systems Online;IEEE Distributed Systems Online 2 2001
40694607;International Journal of Virtual Reality;International Journal of Virtual Reality 6 2007
35927321;Distributed and Parallel Databases;Distributed and Parallel Databases 10 2001
109852484;Empirical Software Engineering;Empirical Software Engineering 2 1997
4650632;International Journal of Speech Technology;International Journal of Speech Technology 3 1999
71517120;Psychnology Journal;Psychnology Journal 6 2008
112045545;Ercim News;Ercim News 2010 2010
140563256;Operational Research;Operational Research 1 2001
43295729;Remote Sensing;Remote Sensing 1 2009
205498627;Wireless Networks;Wireless Networks 5 1999
28621275;Softwaretechnik-trends;Softwaretechnik-trends 22 2002
106179100;Journal of Information Science and Engineering;Journal of Information Science and Engineering 20 2004
6236348;Computing and Informatics / Computers and Artificial Intelligence;Computing and Informatics / Computers and Artificial Intelligence 29 2012
