keyword_id,keyword
1,Multiple encryption
2,Key distribution
3,Symmetric-key algorithm
4,Computer security
5,Deterministic encryption
6,Attribute-based encryption
7,Encryption
8,Theoretical computer science
9,40-bit encryption
10,Probabilistic encryption
11,Mathematics
12,Division by zero
13,Change management
14,Confusion
15,Algebraic number
16,Computer science
18,Operator (computer programming)
19,Rollback
20,Theory of computation
21,Computation
22,Biological data
23,Data mining
25,Microarray analysis techniques
26,Knowledge extraction
27,Artificial intelligence
28,Machine learning
29,Genetic operator
30,Mathematical optimization
31,Problem domain
32,Printed circuit board
33,Chip
35,Throughput
36,Computer hardware
38,Operations management
39,Genetic algorithm
40,Manufacturing process
41,Computer vision
42,Aerodrome
43,Image sensor
45,Cockpit
47,Pixel
48,Real image
49,Brightness
50,Nonlinear system
51,Traveling wave
52,Mathematical analysis
53,Yukawa potential
54,Relative strength
55,Chaotic
56,Partial differential equation
57,Dynamical system
58,Physics
59,Discrete mathematics
60,Index finger
61,Simulation
62,Correlation
63,Just-noticeable difference
64,Estimation theory
65,Sequential analysis
66,Adaptive assessment
68,Joint flexion
69,Scrum
70,Kanban
71,Systems engineering
72,Software engineering
73,Modeling and simulation
74,Lean software development
75,Software Process simulation
76,Software development process
77,Software maintenance
78,Engineering
79,Severity of illness
81,Public health surveillance
82,Emergency medicine
83,Age groups
84,Inference
85,Immunodeficiency
86,Medical record
87,Chronic disease
88,Medicine
89,Data set
90,Load balancing (computing)
93,Information engineering
94,Classifier (linguistics)
95,Ensemble learning
97,Evidence-based medicine
99,Shared Pathology Informatics Network
100,Information retrieval
102,Databases as Topic
103,Patient care
104,Database
105,Medical diagnosis
106,Federated Architecture
107,Semantic similarity
108,Training set
109,SemEval
110,Ranking
114,Cluster (physics)
116,Latent Dirichlet allocation
118,Multinomial distribution
119,Temporal database
121,Cluster analysis
122,Gibbs sampling
123,Pattern recognition
126,Unit sphere
127,Hierarchical clustering
128,Graphics
129,USable
132,Sorting
133,Graphical user interface
134,Natural language processing
136,User interface
137,Computer graphics
138,Visual perception
139,Syllogism
140,Privative
141,Negation
142,Intensifier
143,Philosophy
144,Epistemology
145,Neoplatonism
146,Linguistics
147,Expressive power
149,Human–computer information retrieval
150,Automatic image annotation
153,Image retrieval
154,Search engine indexing
156,Vector space model
157,Digital library
158,Text retrieval
159,Visual Word
160,Particle swarm optimization
163,Fitness function
165,Decision maker
166,Activity recognition
167,Wireless
169,Real-time computing
170,Mobile device
172,Ubiquitous computing
173,RSS
174,Manifold
176,Calibration
177,Applications of artificial intelligence
178,Internet privacy
179,Security through obscurity
180,Wireless security
182,Asset (computer security)
184,Security service
185,Cloud computing security
186,Security information and event management
187,Human-computer interaction in information security
188,Logical security
189,Certificate policy
190,Authentication
191,X.509
193,Self-signed certificate
195,Public key certificate
196,Computer network
197,Certificate authority
198,Implicit certificate
199,Authorization certificate
200,Intuitionistic logic
201,Ontology (information science)
202,Ontology
204,Knowledge representation and reasoning
205,Problem of universals
207,Description logic
210,Hierarchy
211,Mathematical logic
213,Manufacturing systems
214,Expert system
216,Legal expert system
217,Programming language
218,Programmer
219,Pair programming
220,Diagrammatic reasoning
221,Source code
223,Internal documentation
224,Human–computer interaction
225,Program comprehension
226,Software visualization
227,Code (cryptography)
229,Rehabilitation
230,Range of motion
231,Kinematics
234,Kalman filter
235,Pose
237,Articulated body pose estimation
238,Monocular
239,Trajectory
240,Coordinate system
242,Minkowski's theorem
244,Polar coordinate system
245,Minkowski space
246,Complex plane
247,Cartesian oval
248,Gauss map
250,Bounded function
253,Corporation
254,Semantic technology
256,Document management system
257,Knowledge management
258,Content management
259,Content management system
260,Explication
261,Virtual reality
263,Closeness
264,Touchscreen
265,Body awareness
267,Multimedia
268,Empirical research
271,Combinatorics
272,Enclosure
273,Polynomial
274,Convex hull
275,Bernstein polynomial
276,Hausdorff distance
278,Bivariate polynomials
279,Summation equation
280,Discretization
281,Electric-field integral equation
283,Multipole expansion
284,Linear system
286,Integral equation
287,Fast multipole method
289,Charge density
290,Wavelength-division multiplexing
291,Optical switch
294,Electronic engineering
295,Wavelength conversion
296,Distributed computing
297,Design space
298,Interactive digital storytelling
302,Contingency
303,Functional verification
307,Intelligent verification
309,Formal methods
310,Formal language
312,Runtime verification
313,Verification
314,High-level verification
315,Formal verification
316,Domino logic
318,Boolean circuit
319,Logic gate
320,Sequential logic
321,Logic optimization
322,Algorithm
323,Arithmetic
324,Combinational logic
325,Boolean algebra
326,Logic family
328,Knowledge sharing
330,Software project management
332,Management science
333,Software development
335,Data stream mining
337,Sliding window protocol
338,Property testing
339,Computational geometry
340,Hyperplane
341,Point set
343,Coreset
344,Motion planning
345,Hexahedron
347,Digital subtraction angiography
349,Aneurysm
350,Electromagnetic coil
351,Embolization procedure
353,Subtraction
354,Angiography
355,Partition problem
356,Shift register
358,Queue
359,Parallel computing
361,Input/output
362,Quicksort
363,Priority queue
364,Time complexity
365,Very-large-scale integration
366,Satellite
367,Critical mass (software engineering)
369,Network effect
370,Phone
371,First-mover advantage
372,Earth's orbit
373,Customer base
374,Marketing
375,Diffusion (business)
376,Java collections framework
377,Java annotation
379,Application programming interface
381,Statistical model
382,Principles of learning
383,Java
385,Statistical analysis
386,License
387,Quantum finite automata
389,Automata theory
391,Algebra
392,Nested word
393,Decidability
394,Monoid
395,Green's relations
396,Regular language
398,ω-automaton
399,Population
400,Boltzmann machine
402,Estimation of distribution algorithm
404,Evolutionary computation
405,Combinatorial optimization
406,Artificial neural network
407,Optimization problem
409,Scalability
413,Internet Architecture Board
414,Pedagogy
415,Educational institution
416,Internet research
417,Lagging
418,Information Age
419,Higher education
420,The Internet
421,Diagonal
424,Heuristic
425,Logical matrix
426,Discrete tomography
427,Matrix (mathematics)
428,Reconstruction algorithm
429,Ambiguity
431,Binary number
436,Segmentation
437,Active appearance model
439,Vertebra
440,Random forest
443,Topological entropy
444,Computability
447,Real number
450,Verification and validation of computer simulation models
452,Virtual machine
456,Hypervisor
458,Security policy
459,Software verification
460,Minimization problem
462,Short-time Fourier transform
464,Fourier transform
465,Robustness (computer science)
466,Time–frequency analysis
467,Impulse noise
468,Instantaneous phase
470,Calculus
471,Autocorrelation
472,Asynchronous communication
473,Cellular automaton
475,Asynchrony
478,Almost surely
480,Semantic Web Stack
482,OWL-S
485,Semantic computing
488,Ontology-based data integration
490,Ontology Inference Layer
491,Upper ontology
492,Revenue
493,Broadcasting
495,Visualization
496,Gesture
499,Performing arts
500,Robot
501,Musical form
502,Haptic technology
503,Axiom
504,Basic belief
505,Closed set
506,Counterfactual conditional
507,If and only if
509,Ramsey RESET test
512,Belief revision
513,Pareto principle
514,Voxel
516,Probabilistic atlas
518,Local regression
521,Probabilistic logic
525,Regression
526,Bounding overwatch
529,Similarity measure
531,Compact space
534,Cut
536,Fibula
539,Tibia
540,Femur
542,Knee Joint
544,Orthopedic surgery
545,Functional logic programming
547,Horn clause
548,Programming paradigm
550,Inductive programming
551,Abductive logic programming
553,Prolog
554,Declarative programming
555,Logic programming
557,Software
561,Feeling
562,Least squares
563,Residual
564,Matrix completion
565,Lasso (statistics)
567,Regularization (mathematics)
568,Equivalence (measure theory)
569,Differentiable function
570,Minification
573,Random field
575,Discrete optimization
576,Markov chain
579,Graphical model
580,Deformation (mechanics)
581,Smoothness
582,Image registration
583,Instruction-level parallelism
586,Register file
588,Pentium
589,Instruction window
590,Re-order buffer
591,Floorplan
592,Microarchitecture
594,Information technology
595,Engineering ethics
596,Engineering management
599,Economic shortage
600,Convergence (routing)
601,Runge–Kutta methods
602,Differential equation
605,Gaussian
606,Initial value problem
608,Graph
610,Defeasible logic
611,Decision support system
612,Non-monotonic logic
614,Defeasible estate
617,Relational database
618,Existential quantification
620,Disjunctive normal form
623,Datalog
624,Ontology language
626,Boundary value problem
627,Preconditioner
630,Elliptic curve
631,Key distribution in wireless sensor networks
633,Intelligent sensor
634,Visual sensor network
635,Information exchange
636,Sensor array
638,Mobile wireless sensor network
639,Wireless sensor network
640,Sensor web
643,Data processing
647,Lagrangian heuristic
648,Integer programming
649,Ranging
650,Concentrator
651,One half
652,Transaction cost
653,Market impact
655,Concave function
656,Portfolio
657,Unit price
658,Portfolio optimization
659,Database transaction
661,Rate of return
662,Conditional random field
668,Multispectral image
669,Support vector machine
674,Permutation graph
675,Complete coloring
676,Edge coloring
678,Comparability graph
680,Graph power
681,List coloring
682,Cyclic permutation
684,Graph coloring
685,Simulated annealing
689,Field-programmable gate array
691,Travelling salesman problem
692,Control reconfiguration
693,Clock rate
695,Rule-based machine translation
696,Inverse
697,Locality
699,Lexical item
700,Conceptualization
