paper_id;title;year
21456;Leakage-Resilient spatial encryption;2012
21805;On system rollback and totalized fields: An algebraic approach to system change;2011
21951;Extracted knowledge interpretation in mining biological data: A survey;2007
34988;Optimization of high-mix printed circuit card assembly using genetic algorithms;1997
38917;Automated Object Identification and Position Estimation for Airport Lighting Quality Assessment;2008
49843;Traveling wave solutions of the n-dimensional coupled Yukawa equations;2012
66914;Experimental Validation of a Rapid, Adaptive Robotic Assessment of the MCP Joint Angle Difference Threshold;2014
83404;A comparative study of scrum and kanban approaches on a real case study using simulation;2012
122273;Electronic Medical Record (EMR) Utilization for Public Health Surveillance;2008
128236;Load Balancing for Imbalanced Data Sets: Classifying Scientific Artefacts for Evidence Based Medicine;2014
148875;SPIN Query Tools for De-identified Research on a Humongous Database;2005
149980;UNT: A Supervised Synergistic Approach to Semantic Text Similarity;2012
162256;Von Mises-Fisher Clustering Models;2014
164942;Quantifying Visual Similarity in Clinical Iconic Graphics;2005
167261;All brutes are Subhuman: Aristotle and Ockham on private negation;2003
217802;Ehipasiko: A Content-based Image Indexing and Retrieval System;2006
223960;A Methodological Proposal for an Evolutionary Approach to Parameter Inference in MURAME-Based Problems;2014
225523;Adaptive localization in a dynamic WiFi environment through multi-view learning;2007
241752;Illusion of wireless security;2010
247967;Authentication Services in Mobile Networks;2002
267718;A type-theoretical approach for ontologies: The case of roles;2012
289271;Enabling multi-use, multi-tool models of manufacturing systems through an experimental frame expert system;2001
345707;A Study on Guiding Programmers’ Code Navigation with a Graphical Code Recommender;2012
387150;A Robust Hand Pose Estimation Algorithm for Hand Rehabilitation;2013
422477;Exact Minkowski Products of N Complex Disks;2002
480214;Improving content management: a semantic approach;2008
520826;More than speed? an empirical study of touchscreens and body awareness on an object manipulation task;2011
531080;BOUNDS FOR THE RANGE OF A BIVARIATE POLYNOMIAL OVER A TRIANGLE;1998
554285;Second-kind integral formulations of the capacitance problem;1998
567418;Design and Performance Analysis of a Simple OXC;2003
573916;The expressive space of IDS-as-Art;2012
598789;Formal Verification Integration Approach for DSML;2013
600256;Computing with planar toppling domino arrangements;2012
601150;Making Sense of Software Project Management: A case of knowledge sharing in software development;2010
649244;Width of Points in the Streaming Model;2016
671169;Virtual coiling of intracranial aneurysms based on dynamic path planning;2011
718550;A VLSI partition algorithm;1988
749663;Adoption of Low Earth Orbit Satellite Systems: A Diffusion Model under Competition;2003
771098;Jstacs: a java framework for statistical analysis and classification of biological sequences;2012
773965;Green's relations and their use in automata theory;2011
796041;Scalability of using Restricted Boltzmann Machines for combinatorial optimization;2017
808474;Australian undergraduate Internet usage: self-taught, self-directed, and self-limiting?;2000
808499;On the ambiguity of reconstructing hv-convex binary matrices with decomposable configurations;2008
915898;Automatic Location of Vertebrae on DXA Images Using Random Forest Regression;2012
954689;Shifts with Decidable Language and Non-Computable Entropy;2008
1017254;An Approach to Automated Verification of Multi-Level Security System Models;2013
1028584;Robust time-frequency distributions based on the robust short time fourier transform;2005
1038880;m-Asynchronous Cellular Automata;2012
1140107;X-Similarity: Computing Semantic Similarity between Concepts from Different Ontologies;2006
1147305;ORB3 - MUSICAL ROBOTS WITHIN AN ADAPTIVE SOCIAL COMPOSITION SYSTEM;2005
1211384;Minimal Belief Change and the Pareto Principle;1999
1238551;Multi-organ Localization Combining Global-to-Local Regression and Confidence Maps;2014
1243554;Exploiting dissimilarity representations for person re-identification;2011
1309347;Segmentation of Multiple Knee Bones from CT for Orthopedic Knee Surgery Planning;2014
1325840;Constructive Failure in Functional-Logic Programming: From Theory to Implementation.;2006
1341035;NeuroVR 1.5 - a free virtual reality platform for the assessment and treatment in clinical psychology and neuroscience;2009
1365889;A general framework for fast stagewise algorithms;2015
1404390;Non-rigid 2D-3D Medical Image Registration Using Markov Random Fields;2013
1469449;Levo - A Scalable Processor With High IPC.;2003
1474627;Recruiting IT faculty;1999
1538985;The order of B-convergence of the Gaussian Runge-Kutta method;1986
