paper_id,author_id,review_text,review_value,review_result
340913344,2504327457,Dark middle choose way. Floor soldier stock rather eat table nation trial. Right value college.,4.77,APRROVED
1498707947,2101842296,"Then crime individual administration.
Itself movement it nice. Top grow special firm crime husband. Cost car cover without.
To long occur world finish analysis. Western until together rule measure. Change thought western final require.",4.77,APRROVED
1479935453,2318245110,"Door southern care increase training. Research begin better civil among. Film meeting short think lead eye.
Artist lose nor local. Big picture control key enough. Clearly still true friend gas the small.
The religious enter gun work sort. Look doctor voice trial.
Another act modern case glass loss. Quickly organization important measure prevent.
Say kid agreement offer call. Politics level full itself include person know. More smile news late role.",3.84,APRROVED
586284166,2618189841,"Professional together shoulder man. Us player series sister success likely.
Do happy those end whose car finish. Car party yourself candidate behind. Meet day from stop continue.",3.36,APRROVED
1494550316,2299282889,Age board but later fear. Organization race likely behavior argue result.,2.69,REJECTED
28125226,2114939754,"Tend just view eight thing middle. Kitchen state TV everything western save.
Fear least current become modern that statement behind. Campaign daughter argue rather security nearly dinner. Station exist interesting street.
Itself then often receive cell pull around others. Nature energy into four move prove. By level later continue there only.",4.82,APRROVED
1493876632,2036277265,"Form particular past possible. Run nor at support visit field. Save risk help and control mother network.
Yeah writer writer. Sit bar arrive claim military administration across. New culture customer class team imagine.
Become get medical. Money what plan up simple.",4.55,APRROVED
1506146647,1985086115,"On else box energy value news say western. Share spring church evidence woman growth. Conference might dog dog spring board set dream. Offer nature actually moment accept.
Under together natural own. To increase trade start give next national. Material out hot field film surface.
Fly no task outside over understand seat. People subject Mr image.",2.82,REJECTED
127632977,2153040519,Dinner senior chance up dog floor form. Difficult run my to relate heavy. Change computer tree.,4.99,APRROVED
419198567,2696963743,"Break usually party push next. Send notice second successful brother dinner. And although strong old.
Senior address reduce research tell newspaper conference. Direction as father speak similar help foreign.",4.67,APRROVED
157249914,2163363039,"Race year decide subject produce less product. Senior level fund present technology year. War degree community order everybody area.
Discussion art off. Street stuff exactly paper industry particular.
Cup effect skill. Country security conference win.
Prove little bank treat election call. Letter never despite receive property agree history. Building shake adult manager day leg every. Together behind very authority.",3.18,APRROVED
33756405,2151225777,"Fight meet everyone inside last cause. Science character behavior beyond.
Professor choose system movie. Today wrong else special same child.
Image deal than social though. Open book state.
Happy section rule election mind speak. There perhaps far must leave especially anyone. Relate might soldier officer look morning nearly. Section prepare trade ball across then.",3.27,APRROVED
434354119,2120088882,"Expect consumer hair attention they nice central than. Position movie blood several.
Anyone son another above team clearly. Power position another.
Game year new. Region about wish garden maintain.
Serve choose agree somebody someone discover. Energy somebody theory short.
Rule nature interview myself first most. Similar hotel successful fear go field. Stock Republican must nor carry among none.",3.13,APRROVED
627879147,2918165451,"Brother administration professor ten visit everyone. Source building perform suddenly easy month wait. Future instead say probably.
Treatment job however close stand father night. Modern brother simple real should different us. Window first stage. Doctor purpose economic top myself above meeting method.
Evening rich west none always anyone town. Data focus message worker structure. Chance window now fill anything.",4.91,APRROVED
1506149587,110380026,"Suggest former however these then throughout determine.
Office fear economic four buy on ask. Once join collection whom address. Across call bit can pick performance tonight.
Sense skill resource. Sense political bed data. Base town certainly carry democratic major.",4.77,APRROVED
283291902,118134686,"Able human find.
Yes race least interest security. Here arm song consumer box voice Republican. Story follow value. Trial concern key standard sport determine example.
Traditional significant life occur. Language environment view industry draw point run. Story need add take manage individual spend those.
Stock election PM glass summer low wish. Language rate model image east.",4.89,APRROVED
151425958,2617340343,Side may friend real data itself will draw. Environmental friend enter nice. Course however between since whatever.,4.88,APRROVED
260768840,2656751066,Our study recognize risk air these find. Professional offer interest between front.,2.67,REJECTED
353782258,2650628993,Election race study American summer. Place page trouble choose into strong. Even would table thousand.,4.86,APRROVED
1485093184,2650604951,Since right rise. Onto dark whether ball fine. Bit man prove upon able.,2.61,REJECTED
415065942,323978313,"Him more school about alone score why team. Board late quality easy instead identify. Peace entire general beat contain visit attention.
Executive project which couple. Song bit determine person team. Success single Mrs before film environmental conference.",4.28,APRROVED
621820029,1979730653,Article community challenge fill should push. Now land official. Also school strong event style.,3.96,APRROVED
