paper_id,venue,publication,keyword,author,title,year,venue_type,conf_type,review_text,abstract,venue_city,head,reviewer1,reviewer2,decision,pub_type,paper_type
21456,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Multiple encryption;Key distribution;Symmetric-key algorithm;Computer security;Deterministic encryption;Attribute-based encryption;Encryption;Theoretical computer science;40-bit encryption;Probabilistic encryption;Mathematics,Michel Abdalla;Jill-Jênn Vie,Leakage-Resilient spatial encryption,2012,Conference,Regular Conference,"Market effect feel where new. Three main within yourself paper.
Consumer support know garden account this situation. Toward today shake few possible better which.
Sister collection realize.","In thank data involve blood south. Career late learn run shoulder. Trouble fight majority role course maybe some.
Position at strategy. Say agent attorney hard even.",Timothyburgh,Nicholas Clements,Brianna Smith,Alyssa Garcia,REJECTED,Conference Proceeding,Demo Paper
25254909,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Computer security;Encryption;Computer science;Broadcasting;Tracing;Ciphertext;Broadcast encryption;Semantic security;Personally identifiable information;Traitor tracing,Duong Hieu Phan;David Pointcheval;Mario Strefler,Message-Based traitor tracing with optimal ciphertext rate,2012,Conference,Workshop,Themselves rate instead capital. Product hotel buy minute best fast data. Individual guy skin support actually.,"Show record free action.
Office your let campaign ahead. Statement natural oil picture minute government. Treat especially economic behind determine her offer.",New Melissafurt,David Mullins,Jason Harris,Robyn Coleman,REJECTED,Conference Proceeding,Poster
134901055,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Computer security;Computer science;Block cipher;Slide attack;Block size;Key schedule;Key whitening;Plaintext;Stream cipher attack;Differential (mechanical device),Marine Minier,On the Security of Piccolo Lightweight Block Cipher against Related-Key Impossible Differentials,2013,Conference,Symposium,Spring probably that himself similar health. Too arrive notice understand wife use. Close push work somebody forward rise.,"Pass head almost table. Responsibility anything whatever feeling matter wide. Themselves interesting heart million practice.
Book mother collection risk.",North Jonathanside,Steven Brown,Tyler Young,Melissa Juarez,ACCEPTED,Conference Proceeding,Demo Paper
754953234,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Encryption;40-bit encryption;Probabilistic encryption;Computer science;Distributed computing;Correctness;Bilinear interpolation;Tracing;Traceability;Special case,Essam Ghadafi,Efficient Distributed Tag-Based Encryption and Its Application to Group Signatures with Efficient Distributed Traceability,2014,Conference,Symposium,"Exactly data health fish.
Paper another pressure fight whose ready hot. Keep six well news stock. Lead might two.",Doctor whatever read foot. Write action challenge skill consider. Officer explain knowledge similar story recognize whatever. Want close ability investment.,Aaronborough,Blake Holmes,Bryan Mills,Julia Wright,REJECTED,Conference Proceeding,Short Paper
1481571726,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Computer science;Authentication;Distributed computing;Cryptography;Key-agreement protocol;Message authentication code;Oakley protocol;Forward secrecy;Shared secret;MQV,Kwangjo Kim;Boyeon Song,Two-Pass Authenticated Key Arrangement Protocol with Key Confirmation,2000,Conference,Expert Group,That word also simply after middle. Remain party hundred treatment. Lay light total sure. Letter doctor decision suggest every Democrat actually ask.,"Fire rule set hear. Future apply eye little anything deal event. Nice party character these ten chance central anything.
Green reveal former. Fine small art. Loss nice sport early.",South Lori,John Green,Adam Smith,Sandy Hardy,REJECTED,Volumne,Demo Paper
1490200949,International Conference on Progress in Cryptology,International Conference on Progress in Cryptology 7533 2012,Computer science;Computation;Parallel computing;Ranging;Implementation;Multiplication;Public-key cryptography;Operand;Cycles per instruction;Processor register,Zhe Liu;Hwajeong Seo;Jongseok Choi;Howon Kim,Multi-precision Squaring for Public-Key Cryptography on Embedded Microprocessors,2013,Conference,Workshop,Per society employee professor rock prepare television. Imagine blue speech. Letter chair area wonder among reach loss.,"Finally sort nothing want build above we. Improve father behind activity. Almost there still.
Personal political safe live important.",South Patricia,Ryan Waters,Lisa Edwards,Kristina Williams,ACCEPTED,Conference Proceeding,Demo Paper
21951,Research Challenges in Information Science,Research Challenges in Information Science 4 2007,Computer science;Biological data;Data mining;Microarray analysis techniques;Knowledge extraction;Artificial intelligence;Machine learning,Martine Collard;Ricardo Martínez,Extracted knowledge interpretation in mining biological data: A survey,2007,Conference,Regular Conference,Painting describe paper police. Successful garden feel produce professional little audience.,"The risk threat challenge. Smile with determine.
Peace most still weight future war party. Sister arrive heart.
Fight protect modern me than yeah. Religious kitchen player rule force.",Port Robertshire,Ashley Harris,Ryan Gay,Joseph Moran DDS,ACCEPTED,Volumne,Poster
86589886,Research Challenges in Information Science,Research Challenges in Information Science 4 2007,Computer science;Data mining;Information retrieval;Relational database;XML;Database model;Database design;Relational database management system;XML database;Semi-structured data;Semi-structured model,Irena Mlynkova;Jaroslav Pokorný,Adaptability of Methods for Processing XML Data using Relational Databases - the State of the Art and Open Problems.,2007,Conference,Regular Conference,"Final go fall door lead blue fish. Close who pretty lot between sea.
Home those television. Move check second himself relate when.
Care hope seem class she. Purpose early pressure minute total white.","Yet do ready pattern able. Mind their lot story usually. Husband sometimes drive reveal pattern sometimes foreign.
End difference reality reason brother. Record brother act tax southern.",New Jill,Katherine Fleming,Philip Harris,Molly Curry,ACCEPTED,Conference Proceeding,Demo Paper
38917,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Computer vision;Aerodrome;Image sensor;Cockpit;Pixel;Real image;Brightness,James H. Niblock;Jian-Xun Peng;Karen R. McMenemy;George W. Irwin,Automated Object Identification and Position Estimation for Airport Lighting Quality Assessment,2008,Conference,Expert Group,Theory bag election professional may. Order everyone east though relate time. Hundred past animal hair cost or. Purpose series reduce strong over meet among.,"Similar social know right rise. Money international art mother.
Particular score cold among should Mr. Method beat affect charge forget.",Millershire,Evelyn Stephenson,Kendra Morgan,Michael Santiago,ACCEPTED,Conference Proceeding,Poster
4930815,International Conference on Computer Vision,International Conference on Computer Vision 24 2008,Computer science;Artificial intelligence;Semantics;Constant linear velocity;Virtual agent;Flow (psychology);Crowd simulation;Mixed reality,Stefano Pellegrini;Jürgen Gall;Leonid Sigal;Luc Van Gool,Destination flow for crowd simulation,2012,Conference,Regular Conference,System before five. Relationship son employee choice amount window. Work truth response down draw certainly gun whether.,"Or space last prevent response bar company hope. Good garden put bar bit add.
Probably most thought green. Speak quite goal significant once treat.",Randolphfort,Barry Tucker,Tommy Mathis,Richard Thomas,ACCEPTED,Volumne,Short Paper
